product_id,type,input_text,target_summary,num_reviews
230,pros,summarize pros: the sound is good in low and medium volume once on high volume the bass reduces considerably and sound has more treble effectwhen controlling volume from phone the volume do not get affected when screen is off with player is running once you turn on the screen then sound can be controlled using volume rockers of the phonerest everything is nice very good assistant still alexa answers smart over google very impressive with this size of speaker with the good sound quality really a great product ive got mi smart speakers as well but when compared with the size its really good thank you google flipkart best speaker satisfied very nice product enjoying it linking with chromecast for tv phillips led smart bulbs as well as music from multiple apps great productlooks so small in pictures but its not that much sound quality is just next level bass is perfect easy to useno negatives just perfectamazing delivery by flipkart very good packaging,the sound is good in low and medium volume once on high volume the bass reduces considerably and sound has more treble effectwhen controlling volume from phone the volume do not get affected when screen is off with player is running once you turn on the screen then sound can be controlled using volume rockers of the phonerest everything is nice very good assistant still alexa answers smart over google,7
488,pros,summarize pros: good quality hair oil one can go for it good good product good good too gud properly packed both bottles good products best very good,good quality hair oil one can go for it good,9
487,pros,summarize pros: i am using this laptop from past 14 days i was very confused between acer nitro 5 and tuf f15 and this after 2 months of deciding i finally went with this laptop and trust me guys this a very good laptop with this specs and provide value for money u will not regret to buy this laptop only con i found in this are thermals it could have been better but seriously u cant notice that difference overall i am very happy with my purchase overall a good laptopthere are some issues thoughthe display is set by default by windows 11 to 125 some windows especially settings windows legacy ones appear a little blurry at 100 the text is too small so at 120 the text appeared less blurry but mcafee could not scale down to this custom scale factorthe keypad is a little different for a click a tap works fine on the keypad but the force required for a deliberate click like on a macbook keypad is comparatively much lesse this laptop is best in look and performancelook wise it is very premiumbattery is not upto the mark it last only 3 hours backlit keyboard is just love boots up in 15 sec everything is good at this pricebuilt quality is very good keyboard experience is also goodi got this masterpiece at 57999 in sale you can go for it i will update the review after using it for 1 months,i am using this laptop from past 14 days i was very confused between acer nitro 5 and tuf f15 and this after 2 months of deciding i finally went with this laptop and trust me guys this a very good laptop with this specs and provide value for money u will not regret to buy this laptop only con i found in this are thermals it could have been better but seriously u cant notice that difference overall i am very happy with my purchase overall a good laptopthere are some issues thoughthe display is set by default by windows 11 to 125 some windows especially settings windows legacy ones appear a little blurry at 100 the text is too small so at 120 the text appeared less blurry but mcafee could not scale down to this custom scale factorthe keypad is a little different for a click a tap works fine on the keypad but the force required for a deliberate click like on a macbook keypad is comparatively much lesse,3
116,pros,summarize pros: as seen as found the product same and also installation done successfully good product excellent product excellent service by flipkart overall good value for money,as seen as found the product same and also installation done successfully good product,3
775,pros,summarize pros: good fabric value for money worth for money good good good super i am very happy to inform that which was i chosen flipkart delivered the same product with good finishing good sizes my wife appreciated flipkart for sending the right product evev we decided to purchase the same thing few more very soon i heartily thanks to flipkart nice very nice nice product mind blowing qualitythanks flipcart,good fabric value for money worth for money,10
521,pros,summarize pros: this is good charger wow nice super,this is good charger wow nice,3
782,pros,summarize pros: beat quality as expected just fabulousthanku flipkart wonderful as expected very good product nice cushion excellent nyc product,beat quality as expected just fabulousthanku flipkart,8
249,pros,summarize pros: must buy thank you so much good thanks flipkart good terrific purchase good product nice nice nice,must buy thank you so much,10
434,pros,summarize pros: thank you flipcart nice very nice productquality very highly but price is very large kajal texture is so black best deep blackworth itgo for it good kajal is nice i like it very much superb it was excellent nice super prdct very good quality i like it super very good fab super excellent good product good all time fav product,thank you flipcart nice,19
434,cons,summarize cons: it is goodbut when i apply it break one is little with loose cap bad product,it is goodbut when i apply it break one is little with loose cap,3
974,pros,summarize pros: amazing awesome thermal water bottle it keeps water warm for 3 days till i have observed which means it keeps the water temperature steady for a longer time it can be used for cold water too not sure but people says that keep using this bottle for one purpose ie either cold water or warm water good good at this price purchased it at 574 rs gud super best choce thanks flipkart good its a good product thanks flip kart,amazing awesome thermal water bottle it keeps water warm for 3 days till i have observed which means it keeps the water temperature steady for a longer time it can be used for cold water too not sure but people says that keep using this bottle for one purpose ie either cold water or warm water,10
617,pros,summarize pros: best great installation and demo was good,best great,3
533,pros,summarize pros: superb product good product i just loved it toooo good can t believe i got this in this price only thank you flipkart looks pretty and good chamber light is not available as shown in technical specifications by flipkart it is disappointing beautiful product very nice awesome value for money,superb product good product i just loved it,8
578,pros,summarize pros: nice products product of the very good very good product good product,nice products product of the very good,4
469,cons,summarize cons: bad bad worst product not satisfied,bad bad,4
394,pros,summarize pros: nice comfortable pents nice pant beautiful good product nice nice product color fading and in just few days the the fabric has started to come off i just tried to put my hand in pocket and it teared like an old cheap fabric,nice comfortable pents nice pant,7
394,cons,summarize cons: not much good high costand quality also not upto the markthink before order cloth quality isnt good and chain are low quality i will not suggest to buy very bad product price is to high bad product,not much good high costand quality also not upto the markthink before order cloth quality isnt good and chain are low quality i will not suggest to buy very bad product price is to high,3
356,pros,summarize pros: nice product for this price awesome thanks for flipkart good product,nice product for this price awesome thanks for flipkart,3
355,pros,summarize pros: very good product pure leather and soft items i love it very nice product i love it thank you flipkart nice,very good product pure leather and soft items i love it very nice product i love it thank you flipkart,3
400,pros,summarize pros: i love this t shirt nice product this is nice product i am happy super nice great product very nice very good product very nice,i love this t shirt nice product,7
470,pros,summarize pros: i ordered the liberty clogs from flipkart i was a little bit scared about the product but when i received my order i am so happy with my order the clogs comes in very good condition but the packaging was not good well thanks liberty and flipkart for providing us great deals on clogs nice product good amazing products 100 comfort,i ordered the liberty clogs from flipkart i was a little bit scared about the product but when i received my order i am so happy with my order the clogs comes in very good condition but the packaging was not good well thanks liberty and flipkart for providing us great deals on clogs nice product,5
999,pros,summarize pros: awesome super quality worth of money awesome yaar really good quality product thank you cyphus and flipkart very very very very nice product awesome very good product best quality trouser with good fabric and perfect fitting good quality according to price good,awesome super quality worth of money awesome yaar really good quality product thank you cyphus and flipkart,8
771,pros,summarize pros: nice product good exlent usefull 100 material is good and comfortable,nice product good,4
511,pros,summarize pros: works as expected nice is super first is slow,works as expected nice,3
536,pros,summarize pros: good power bang nice product nice look and best working very good mi power bank is the very good product good thank you flipkart if you want better power bank for your device i prefer this 18wat fast charge mode support all your devices like mobile bluetooth just press switch botton twice to switching low power mode super,good power bang nice product,9
580,pros,summarize pros: very good first thing which i want to say is that it is best value for money every thing is upto the mark 5 star for jeeves super fast installation got tv delivered today at 1030am and installed at 5pm same day thanks to jeeves will update about tv review after few days of watching very nice quality and product fantastic led tv connectivity sound display is good thank you flipkart nice smart tv product and value for money its first day and hope this will be durable product too best good overall the product is good at the price rangebut technician charged 1300 for installation part,very good first thing which i want to say is that it is best value for money every thing is upto the mark,9
261,pros,summarize pros: very good product thanks very nice product,very good product thanks,3
468,pros,summarize pros: very nice ball i can even use it in my backyard but it gets dirty faster but i love it bouncy as wellthis helped me to practice well best football for this price range buy this this product is super very nice football my 5 year old son is very like it he enjoy it its good fantastic ball very nice football its really good received with neat packaging with one pin for pumping air nice product value for money excellent best,very nice ball i can even use it in my backyard but it gets dirty faster but i love it bouncy as wellthis helped me to practice well best football for this price range buy this this product is super,9
928,pros,summarize pros: very very use full product in too life and flipkart given good quality product 1 easy to use2 easy to wash3 low noise and no vibrationover all good products everything fine except that some juicy pulp remains really appreciate this machine i am happy with this machine,very very use full product in too life and flipkart given good quality product 1 easy to use2 easy to wash3 low noise and no vibrationover all good products everything fine except that some juicy pulp remains,3
599,pros,summarize pros: nic its very good product bt when the sound rise then woofer cant run smoothly nice sound quality very nice music sounds its very nice,nic its very good product bt when the sound rise then woofer cant run smoothly,5
532,pros,summarize pros: nice product thank you flipkart good verry good nice good according to price nyc v good good,nice product thank you flipkart good,8
398,pros,summarize pros: best super good product is jerseyif u want buy jersey cloth u can buy very comfortable good nice protect,best super good,6
188,pros,summarize pros: good nice product thank you flipkart i like the quality of products and discount thanks flipkart good to go valuvise good product l iam happy nice product but light weighted nice one the product is delivered safely and its working exactly same as shown in the futures but its how long does it i do not have any idea,good nice product thank you flipkart,9
351,pros,summarize pros: nice super very nice best good,nice super,5
713,pros,summarize pros: it was good but not good in winters this blanket is like as ac blanket so good but it single nice blanky comfortable warm and soft good quality nice color and design supper good,it was good but not good in winters this blanket is like as ac blanket so good but it single,5
549,pros,summarize pros: i loved it nice good product good product nice product everything is good good good produc worth for money i like very much buying this item,i loved it nice,9
1001,pros,summarize pros: best good superb good product got awesome nice product very nice app sir good quality very nice,best good,9
191,pros,summarize pros: as always seagate harddrives are best in the market and moreover seller has given this at the very best price and better packaging faster shipment proper followups by delivery agent thanks to seller and flipkart too very good comparitively heavy but good product assal theskokandi fully hanging so far so good,as always seagate harddrives are best in the market and moreover seller has given this at the very best price and better packaging faster shipment proper followups by delivery agent thanks to seller and flipkart too very good,5
353,pros,summarize pros: fantastic its a nice product nice product,fantastic its a nice product,3
572,pros,summarize pros: searched a lot and then ordered so happy with the product as i earned the most beautiful word i love you and a kiss from my wife thanks a lot and yes from those who are confused as i was before ordering this is promise 1409 which doesnt show on official website promise 1409 is updated with merrit 1409 talked to customer care of singer so have searched alot so dont think about others and stand with this without any doubt nice superb performance good product its a great dealgot the first demo within 4 days of deliveryvery easy to handleeven beginners can go for it very nice its good for home use can do basic stitchings speed is adequate wow its really working excellent tq,searched a lot and then ordered so happy with the product as i earned the most beautiful word i love you and a kiss from my wife thanks a lot and yes from those who are confused as i was before ordering this is promise 1409 which doesnt show on official website promise 1409 is updated with merrit 1409 talked to customer care of singer so have searched alot so dont think about others and stand with this without any doubt nice,8
132,pros,summarize pros: fantastic nice the product was fabulous and it was fit and fine and the delivery was also too fast thanks and keep it up good one very goood produckt,fantastic nice,5
567,pros,summarize pros: easy to install handle tplink flipkart short range amd connect disconnect problem otherwise product is good awesome product,easy to install handle tplink flipkart short range amd connect disconnect problem otherwise product is good,3
529,pros,summarize pros: nice good pordacot value for money its good better,nice good pordacot,5
579,pros,summarize pros: very nice tv nice tv for the price must buy nice product nice television n i love it best tv its a good product for this price range must recommend,very nice tv nice tv for the price must buy,6
416,pros,summarize pros: very nice product awesome watch in this price segment and nice look nice really nice product it gifted my bestfriend on her birthday she was very happy very nice,very nice product awesome watch in this price segment and nice look,5
457,pros,summarize pros: good product in low value nice product i am fully happy this product is a vary niceam vary happythnku so much flipkart good one quality was awesome thanks,good product in low value nice product i am fully happy,6
193,pros,summarize pros: it is worth of the money it looks very nicei cant say about performance because i have used only 3times amazing light in weight handy pocket sizedavailability of space is 136tb which is good enoughinstead of 1 tb go for 15tb as extra 360gb is offered theres a good value excellent,it is worth of the money it looks very nicei cant say about performance because i have used only 3times amazing light in weight handy pocket sizedavailability of space is 136tb which is good enoughinstead of 1 tb go for 15tb as extra 360gb is offered theres a good value,3
514,pros,summarize pros: its a fast charging adopter and have good length of data cable i bought it for samasung a9 very nice and excellent product well done boat good product and fast charging qick 3 and fast delivery thnx for flipkart team super cool,its a fast charging adopter and have good length of data cable i bought it for samasung a9 very nice and excellent product well done boat good product and fast charging qick 3 and fast delivery thnx for flipkart team,3
104,pros,summarize pros: what a excellent blutooth device everyone must try it kids r happy with this device and it very useful for online classes in todays condition first of all nice comfy beautiful looking for green lovers sound and bass quality is awesome and also battery backup very good product very crystal clear sound and bass perfect and battery backup is very superb it is one of the best headphone i ever used superb sound quality have it if you have dream of listening good music the best part of this headphone is that it do not give headache even if u listen for hours in full volume loved it,what a excellent blutooth device everyone must try it kids r happy with this device and it very useful for online classes in todays condition first of all nice comfy beautiful looking for green lovers sound and bass quality is awesome and also battery backup,4
583,pros,summarize pros: good suparb smart watch very nice product everything is good but its hand face is not awesome watch nice product value for money 100 waterproof nice product good,good suparb smart watch,8
304,pros,summarize pros: good choice nice worth buyingartbook is small rest all is good good product,good choice nice,4
1056,pros,summarize pros: good but small size good product i like it tnx flipkart good but medium size good good quality productbut the cello packing box is not much attractive and the bowls are small nice nice product very good,good but small size good product i like it tnx flipkart,8
1057,pros,summarize pros: just wow go for it excellent dinner set contains 6 full 6 quarter plates and 6 bowls packing was very nice and compact worth buying quality is ok but size is a little bit small all over product is ok specially the packaging is too good packing is very good very very nice quality good i am so happy product came fine and well packed quality of the product is fine but one plate is little defected at the edge else overall satisfied with this buy very good good good product good nice product beautiful and adorable product must buy it product is awesome this price rangeso you can buy too wonderful good product osm good product like this good good product good product actually i ordered it to give someone a gift but then also that person was telling its a very good product but how can he say that its a bad product to me because i have gifted that person so i dont know much about it it was an average product product is as expected quality of the product is good but the dinner plate seems small comparatively its hard to serve good quantity at once rest everything is fine you can go for the product without hesitation quality is good but bowls are small very pretty good but small size excellent product,just wow go for it,28
