product_name,sentiment,input_text,target_summary
"PHILIPS MMS8085B/94 Convertible 80 W Bluetooth Home Theatre  (Black, 2.1 Channel)",positive,"summarize what people like about PHILIPS MMS8085B/94 Convertible 80 W Bluetooth Home Theatre  (Black, 2.1 Channel): nice product good bass perfect for home now enjoying home theater and multiple plex entertainment at home [SEP] the product is really awesome as well as its bass clear sound with clear bass love it [SEP] the sound quality is very good and it is automatically adjust with the type of song itself bass is reach providing the better sound quality while playing songs with definitely much clarity without distortion [SEP] awesome sound room shaking worth buying sound is so clear and bass is just fabulous having bass control make it great if you are a music lover just buy this mms6080b no regret if you are looking for other brands in lower price then spend some more and buy this philips [SEP] one of the best product in the marketbass is amazing and sound like punchi wich is so gooddesign and product quality is superbprice vise little bit costly i recommended all who wan buy get in flipkart sale m little bit dispoint about its remote quality is very low and they dont give battery pencil cellin this product so u can buy sepretlylast but not list who has music lovers i recommend this productand finally thanx to flipkart to deliver in rural aria before time",one of the best product in the marketbass is amazing and sound like punchi wich is so gooddesign and product quality is superbprice vise little bit costly i recommended all who wan buy get in flipkart sale m little bit dispoint about its remote quality is very low and they dont g
"kay1steel boot jabba Steel Toe Genuine Leather Safety Shoe (Black, S1, S1P)",positive,"summarize what people like about kay1steel boot jabba Steel Toe Genuine Leather Safety Shoe (Black, S1, S1P): good product but very heavyweight [SEP] excellent product thank you flipkart",excellent product thank you flipkart
LG 20 L Solo Microwave OvenMS2043DB Black,negative,summarize what people dislike about LG 20 L Solo Microwave OvenMS2043DB Black: not good product dont buy any product from flip cart 30 aug material reciver till 9 sep till no tech visit problematic product deliveredlow feature poor coustomer support by flip cart dont buy any product from flipcart [SEP] product is good but within a month iy stopped heating and lg service sucks it is almost 4 days of lodging a complaint and no one has called [SEP] product quality is good no delay to deliver the product [SEP] worst experience with flipkart non delivery of product on time failed purpose as it was to be gifted on 6th itself flipkart did nothing except deceiving [SEP] only one word blindly you can go for this product,not good product dont buy any product from flip cart 30 aug material reciver till 9 sep till no tech visit problematic product deliveredlow feature poor coustomer support by flip cart dont buy any product from flipcart
Vidisa Audio Interface AMP iRig System Guitar Effects Pedal Audio Reciver (Black),positive,summarize what people like about Vidisa Audio Interface AMP iRig System Guitar Effects Pedal Audio Reciver (Black): super work super clearity voice music [SEP] nice product and value for money [SEP] really really satisfied good sound quality thank you flipkart [SEP] good product i use this my home studio its useful product for recording on mobilethank you flipcart service and product [SEP] audio voice super but video quality is voice not,good product i use this my home studio its useful product for recording on mobilethank you flipcart service and product
DOMS Pencil Smart Kit,positive,summarize what people like about DOMS Pencil Smart Kit: super amazing i loved it a lot thank you flipkark all things are very good and i get bags also product is very good [SEP] thank you so much for this affordable smart kitmy son loved itall the colours r so smoothmy son is loving to do coloring everyday [SEP] the kit is just amazing for like newbies and kids it has two types of crayons a huge oil pastel set sketch pens chalks though i received white chalk and im not a fan of it a chalk holder pencil sets pencil colours scale eraser and a cute sharpener the kit is overall really good worth for money although a kit of water colours could have added extra value to it [SEP] this product is so nice i like this product very much thank you flipkart and fast delivery [SEP] very nice my kis was very happy she loved it very much on this lock down period ot is going to be an intertesting one to her thank you flipkart,the kit is just amazing for like newbies and kids it has two types of crayons a huge oil pastel set sketch pens chalks though i received white chalk and im not a fan of it a chalk holder pencil sets pencil colours scale eraser and a cute sharpener the kit is overall really good w
"Urban Terrain BOLT UT5000S26 Steel MTB-Disc Brakes, Free Installation & OneFitPlus App Tracking 26 T Mountain Cycle  (Single Speed, Green)",positive,"summarize what people like about Urban Terrain BOLT UT5000S26 Steel MTB-Disc Brakes, Free Installation & OneFitPlus App Tracking 26 T Mountain Cycle  (Single Speed, Green): its superb with this price got satisfied with this deal and the service by the company is awesome really happy for the cycle you can go for it [SEP] good product good customer support good time delivering expected nice fitting service bicycle is awesome to drivefitness programme is goodoveeall value for moneyi recommended this bicycle because its very comfortable to meamazing product [SEP] satisfied with the design look and sturdiness of the product purchased mud guard separately product delivered on time and installation on the third day of receiving got follow up calls which was nice friendly customer service personnel overall satisfied with urban terrain team and their product [SEP] best cycle in this price dietician pooja was suggested best diet plan explaining everything and helping me to improve my health very wellhappy by buying this product thank you urban terrainpooja and virtual trainer suraj kumar was very good and helpful [SEP] hello it has been a month now that i am using it this is a nice machine with good ergonomics design comfort light weight and value for money i am loving cycling i have taken one free service also as there was some minor issue which was resolved very quickly along with the cycle i got few months online dietician yoga exercise and other activity online sessions also i recommend this cycle to my friends and others viewers here hats off to flipkart urban terrain cultsports che",hello it has been a month now that i am using it this is a nice machine with good ergonomics design comfort light weight and value for money i am loving cycling i have taken one free service also as there was some minor issue which was resolved very quickly along with the cycle i
"Skylofts Soft Silicone Noise Reduction Ear Plugs for Sleeping, Meditation, Swimming adult and child, Reusable Earmuff for Travel Flights (Pack of 5) Ear Plug (Multicolor)",positive,"summarize what people like about Skylofts Soft Silicone Noise Reduction Ear Plugs for Sleeping, Meditation, Swimming adult and child, Reusable Earmuff for Travel Flights (Pack of 5) Ear Plug (Multicolor): good productgrip is good and it fits perfectly sure purpose will be solved by wearing it for less period of time like if it is used properly it cuts off 80 of heavy noises like mixer grinder it cuts 95 off of the unwanted small noises near by and 100 noises off from far distances the only thing i request the product maker to make it even more softer to wear it on for long period of time thank you for such a great productnotewhen you wear it first put it in your ears and push it [SEP] its takes time to get comfortable to the ear might say the first time felt somewhat irritating and didnt block out mich sound however after weeks of wearing and getting used to this product i found it very useful especially for sleeping it still does come off if youre always moving in your sleep but a solution to that can be done by applying a little water to the plugs before plugging it into the ears very useful product might say one of the best purchase ever [SEP] happy with the purchase [SEP] good quality they helped me a lot in the flight [SEP] good comfortable reduce 70 noise",good productgrip is good and it fits perfectly sure purpose will be solved by wearing it for less period of time like if it is used properly it cuts off 80 of heavy noises like mixer grinder it cuts 95 off of the unwanted small noises near by and 100 noises off from far distances
Spotzero by Milton Prime Mop With Big Wheels Bucket,negative,summarize what people dislike about Spotzero by Milton Prime Mop With Big Wheels Bucket: this review is after use of many months firstly biggest issue is mop rod rotating action it is of worst quality there is thread slipping while trying to spin and clean mop thus not able to perform basic action keeping mop dirty making product useless and troublesome to use 2 star given only for bucket plastic quality which is good mop absorption is average steel bucket average bucket handle very weak so of no use overall bad quality product dont go by brand milton do not buy it [SEP] quality is not expected as extension lock is not atiff [SEP] bucket handle problem stick glep problem 40 ok [SEP] not satisfied with the product its handle broke after using it for 1215 days [SEP] not satisfied the refils are very weak the bucket is also not strong and damaged,this review is after use of many months firstly biggest issue is mop rod rotating action it is of worst quality there is thread slipping while trying to spin and clean mop thus not able to perform basic action keeping mop dirty making product useless and troublesome to use 2 star
YONEX GR 303 F Blue Strung Badminton RacquetPack of 1 95 g,positive,summarize what people like about YONEX GR 303 F Blue Strung Badminton RacquetPack of 1 95 g: the product is very nice and the racket i bought is genuine the racket is very light and good for beginners and intermediate players the badminton rackets quality is excellent as its a yonex brand best for budget i suggest to buy it [SEP] the delivery is very good and fast the is the best i am very happy with this product this racket is suitable for beginner level and price fair enough and best in the market [SEP] product delivery is extremely fast it comes in only 3rd day and i am very happy with my product provide in good condition thanks to flipkart [SEP] looks great at first i used it by playing one hour and it was awesome experiencelight weight great threading grip is goodoverall very good product for beginners [SEP] this is my 3rd yonex racket feels good as of now just received it yesterday hope it lives upto its reputation during use also recommended for beginnerstomid level players,the product is very nice and the racket i bought is genuine the racket is very light and good for beginners and intermediate players the badminton rackets quality is excellent as its a yonex brand best for budget i suggest to buy it
furlay Engineered Wood Study TableFree Standing Finish Color Black Walnut Shelf DIYDoItYourself,positive,summarize what people like about furlay Engineered Wood Study TableFree Standing Finish Color Black Walnut Shelf DIYDoItYourself: this product is really good within this price range its sturdy and big enough for one monitor and laptop or two monitors its perfect for wfh needs u can go for it [SEP] pretty good for the price big enough for a laptop a monitor and keyboardmouse looks sturdy and does not wobble as long as fitting and height adjustable is done correctlythe top sunmyca could be better quality but again its good for the price of 2500seller provides metal bars tabletop screws and screwdriverone star less as i got one big screw less i followed up with flipkart customer care but their response was pathetic they couldnt understand my question and then they said [SEP] best table for study and work tables wood material bottom metal is made up of good quality metals gage also pretty wellregarding to installation it is easy only as we get detailed step from guide paperthe only problem i faced during installation was when im fixing bottom rack that provisioned nuts were not in exact position so we fixed it in some slight cross to itthats all my review overall my suggestion is go for this product it is worth of every penny [SEP] delivered on time as scheduledits diy product comes with screws and screw driver in the package which is great easy to fix the pieces together and get the product ready for use in this price limit it is certainly a quality product with strong metal legs and diagonal clamps for that additional strength wood on top as well is of good quality ample for regular or household use value for money one can go for it [SEP] great product must buy for those who look for study or office table i bought this for both beautiful and gorgeous table that i couldnt explain how beautifully it fits my small room yet spacious for working and studying do buy this dont go for products less than thi,great product must buy for those who look for study or office table i bought this for both beautiful and gorgeous table that i couldnt explain how beautifully it fits my small room yet spacious for working and studying do buy this dont go for products less than this for price pur
Lakshmi ez Wet Grinder??(Maroon),positive,summarize what people like about Lakshmi ez Wet Grinder??(Maroon): this is a nice product worthy of the price does not make the usual grinder noise only suitable for a very small family but since ours is a big family we have to use it to grind batter daily so if your family has more than 4 members please go for a bigger size [SEP] its a good producteasy to use [SEP] its good not bad its worth [SEP] good working value for money [SEP] really good and nice product thanks to flipkart,this is a nice product worthy of the price does not make the usual grinder noise only suitable for a very small family but since ours is a big family we have to use it to grind batter daily so if your family has more than 4 members please go for a bigger size
"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller (Black)",negative,"summarize what people dislike about Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller (Black): ok plastic quality is not good [SEP] keys not functioning second remote purchased in 10 days very bad quality product do not buy it better call airtel customer care and order for remote [SEP] burned cell not satisfied [SEP] remote not working properly",keys not functioning second remote purchased in 10 days very bad quality product do not buy it better call airtel customer care and order for remote
Furnifry Wooden Wall Mounted TV Entertainment UnitTV StandTV CabinetSetTop Box Stand Engineered Wood TV Entertainment UnitFinish Color Grey and White DIYDoItYourself,positive,summarize what people like about Furnifry Wooden Wall Mounted TV Entertainment UnitTV StandTV CabinetSetTop Box Stand Engineered Wood TV Entertainment UnitFinish Color Grey and White DIYDoItYourself: extremely a good choice [SEP] the product is good as described the quality and finishing could have been better overall my experience is good [SEP] no installation provided had do done it by self ordered brown one and got half brown half black over all design is good quality is averagewe can say as per price [SEP] same as shown in image even the best tv unit at this price [SEP] amazing product must buy,no installation provided had do done it by self ordered brown one and got half brown half black over all design is good quality is averagewe can say as per price
Catvision CSR-401HP WIFI Media Streaming Device (Black),positive,summarize what people like about Catvision CSR-401HP WIFI Media Streaming Device (Black): best set top box superb product with make in india productwatch free dish channeluse as usb media player like photo video music euse for mobile casting cast youtube mobile pics mobile videos pvr feature for record tv program in usbinbuilt wifi hdmi port with free hdmi cable for modern led tvsupport old tv for rca cable three wire red yellow whiteuse as mobile charger via usb cablefirst iso certified set top boxthanks flipkart for fast delivery [SEP] awesome boxit supports old tv alsowe can connect it to our mobile through tubicast app and can play our gallery videos photos songs alsoalso we can play online youtube videos on itit is very compact in sizereally nice box [SEP] working well all free satellite channels are available and works quality is hd ish though not full hd as its upscaled wifi casting works lags sometimes due to app issues tubicast quality wise is gud and i dought any other better option persists so if ur looking fr free dish u should purchase [SEP] best mpegg 4hd fta set top box good work all system and best performancei using last 18 months very good performance value for moneymust buy [SEP] have a real hd like output using it with my 55 led tv where clear difference was marked in picture quality after switching from old free dish set top box to this one it is also compact and good looking,best set top box superb product with make in india productwatch free dish channeluse as usb media player like photo video music euse for mobile casting cast youtube mobile pics mobile videos pvr feature for record tv program in usbinbuilt wifi hdmi port with free hdmi cable for m
SUPRIMO mixerjuicergrinder combo 3 jar 750 watt STARJ3 750 Juicer Mixer Grinder 3 Jars Blue,positive,summarize what people like about SUPRIMO mixerjuicergrinder combo 3 jar 750 watt STARJ3 750 Juicer Mixer Grinder 3 Jars Blue: really good product so i am very happy this product because i use this mixture grinder very silence on running time machine amazing prices and good quality [SEP] nice beautifull prodauct [SEP] good product very nice thank you [SEP] its very good product and best quality go and buy for it and you wont regret [SEP] good build quality smooth parformance1 copper binding motor2 allover machine good 3jar quality average,really good product so i am very happy this product because i use this mixture grinder very silence on running time machine amazing prices and good quality
NP2598WM03 Analog Watch - For Women,positive,summarize what people like about NP2598WM03 Analog Watch - For Women: nice product a minimalist watch with small dial provides a very decent and sober lookquality wise its quite good and well finishedand thank you flipkart for super fast delivery [SEP] super fast delivery awesome quality watch with elegance thanks flipkart [SEP] nice so beautiful i gifted to my mom nd she so happy [SEP] bought this watch for my mom she is happy with the product was able to see smile on her face got comments from mummy that the watch is light weight and comfortable to wear thanks flipkart for the lightening delivery impressed [SEP] not that great as expected but good the dial is good but the chain is not that good chain looks and feels cheap and light only the dial is the best part overall its good recommended at this price but if you want a bit heavy and big dial watch then go for other sonata or casio,not that great as expected but good the dial is good but the chain is not that good chain looks and feels cheap and light only the dial is the best part overall its good recommended at this price but if you want a bit heavy and big dial watch then go for other sonata or casio
Hillgrove Electronic 3in1 Mobile Soldering Iron Equipment Tool Machine Combo Kit Set with Flux Paste and Wire 25 W SimpleFlat Tip,positive,summarize what people like about Hillgrove Electronic 3in1 Mobile Soldering Iron Equipment Tool Machine Combo Kit Set with Flux Paste and Wire 25 W SimpleFlat Tip: its a very good product [SEP] very good product i am very happy [SEP] low price good product [SEP] product is really good offers was awesomedelivered on tymdelivery services was good [SEP] amazing product worth it,product is really good offers was awesomedelivered on tymdelivery services was good
"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf (Number of Shelves - 1, White, Black)",positive,"summarize what people like about SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf (Number of Shelves - 1, White, Black): value for money product best in qualityquality product looks very sturdy and stylishvery useful to keep to remote and set top box organizeddelivered intact and without any damagesprice is very reasonable and less than what is available in market [SEP] good quality item thanks to flipcart [SEP] tough materialfulfill my purposevery very happy [SEP] very nyc product but rate is very high [SEP] great fiting good quality",value for money product best in qualityquality product looks very sturdy and stylishvery useful to keep to remote and set top box organizeddelivered intact and without any damagesprice is very reasonable and less than what is available in market
"LEADER XTREME 26T REAR SUSPENSION FOR MTB RIDER 26 T Mountain Cycle  (Single Speed, Black)",positive,"summarize what people like about LEADER XTREME 26T REAR SUSPENSION FOR MTB RIDER 26 T Mountain Cycle  (Single Speed, Black): this is best cycle the cycle colour combination is awesomeframe build quality is bestshocker is bestcycle comes 90 assambled from companyother assembly is very easy at homeit comes with tools for assemblyi recommend this cycle [SEP] the cycle is awesome frame is hard looks just incrediblebest cycle under this price range [SEP] superb bicycle loved itinstallation is too easy good job flipkart [SEP] nice product thanks flipkart ekart [SEP] cycle is just amazing best quality",this is best cycle the cycle colour combination is awesomeframe build quality is bestshocker is bestcycle comes 90 assambled from companyother assembly is very easy at homeit comes with tools for assemblyi recommend this cycle
indian armar Engineered Wood Study TableFree Standing Finish Color Black Chair Included Preassembled,positive,summarize what people like about indian armar Engineered Wood Study TableFree Standing Finish Color Black Chair Included Preassembled: its really nice product available on flipkarti love this producthave one suggestion cover edges of table with proper way so that attached paper sheet does not get removed after useotherwise product is goodchair is too confertable nice [SEP] table is exactly same and amazing delivery is also fast thanks flipkart and chair is so beautiful perfect for study and take less space [SEP] not a great product but yes a useful product to spend the money it is a one stop shop offer for me because i wanted a foldable setup because of less space i suggest if you dont have any space constraint then please find something more wonderful thing thank you and i am satisfied with this serving my requirements [SEP] excellent product 1 easy to assemble2 nice build quality3 nice look4 comes with chair terrible [SEP] value for money the product is really good and the packaging and delivery was also up to mark the chair is rocking a bit but nothing that cant be fixed very happy with this budget friendly purchase,not a great product but yes a useful product to spend the money it is a one stop shop offer for me because i wanted a foldable setup because of less space i suggest if you dont have any space constraint then please find something more wonderful thing thank you and i am satisfied
"Mivi Fort S24 Soundbar with FM Mode and 2 full range drivers, Made in India 24 W Bluetooth Soundbar? ? (Black, 2.0 Channel)",negative,"summarize what people dislike about Mivi Fort S24 Soundbar with FM Mode and 2 full range drivers, Made in India 24 W Bluetooth Soundbar? ? (Black, 2.0 Channel): bad quality item there is no bass it has only voice dont buy this [SEP] as shown in description at launching and when its seen in real the build quality is good even the sound quality is good and clear but the battery backup is so bad even if we charge for 2hr then it will play on for 30 min so i dont like the battery backup [SEP] battery is worstthe product should be discarded from flipkart as it doesnt work on power supply and it only works for 10min at full volume on 100 charged regretting for buying this productnot expected this for mivi who is spending a lot on advertisement either spending a lot on advertising your product you should work on your product [SEP] guysthis is a very honest reviewplease dont buy this product because it doesnt even deliver the sound of a 5 watt speaker its very distorted at higher volume and most importantly there is no refund for this product if returned honestly guys go for boat speakers they are 100 times far better than this [SEP] worst experience from mivi sound quality its very poor and there policy are not going to return that product just bad experience from flipkart very disappointed with the service of flipkart dont buy this waste of money",battery is worstthe product should be discarded from flipkart as it doesnt work on power supply and it only works for 10min at full volume on 100 charged regretting for buying this productnot expected this for mivi who is spending a lot on advertisement either spending a lot on a
Nea 2L Rubber Hot/Warm Water Bag for Pain Relief & Massager Non Electrical 2 L Hot Water Bag (Red),positive,summarize what people like about Nea 2L Rubber Hot/Warm Water Bag for Pain Relief & Massager Non Electrical 2 L Hot Water Bag (Red): i am not satisfied with packagingotherwise the product was good but price little more so i gave 3 star thank you [SEP] good product quality is good this price range [SEP] i checked it no licked superb [SEP] its good product am happy with it they are good pain relief that help alleviate any discomfort [SEP] must buy thanks to flipkart for this osm product,i am not satisfied with packagingotherwise the product was good but price little more so i gave 3 star thank you
Otoroys Aroma Car Freshener150 ml,positive,summarize what people like about Otoroys Aroma Car Freshener150 ml: love at first sight works perfectly in sunlight with a fast response the fragrance could be improved still its fabulous rotation make it a good interior decorator for my carwill surely recommend it [SEP] this is a beautiful product and goes very well with your car loved it and worth the mony [SEP] loved the product quality is worth the price just installed it today so cant say how much of a good defuser it is but over all looks and quality of the product is pretty good fragrance is pretty decent too [SEP] its a verry verry good product in this prize it is amezing [SEP] awsmgood workinglooking beautifulmust buydelivery also best,loved the product quality is worth the price just installed it today so cant say how much of a good defuser it is but over all looks and quality of the product is pretty good fragrance is pretty decent too
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker (Black, Stereo Channel)",positive,"summarize what people like about Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker (Black, Stereo Channel): just amazing great sound quality and everything is just good so i ordered new boat headphone im a happy customer and i will order my new things from you [SEP] i highly recommend to buy this woos speakerportableeasy to carrythe sound is crystal cleardont expect bassbut the audio quality and connectivity is amazingit had all the connectivities and the best part is fm radioi am 100 satisfied with this speakeri can carry it to any where as it is so small and powerfuldecent designthank u flipkart and sellerbuy it blindly friends [SEP] it is good but battery backup is noot good sound and bass is good i like it so much [SEP] nice sound great piece in this price [SEP] this dj sound is very good i like it very much sound quality is so good",i highly recommend to buy this woos speakerportableeasy to carrythe sound is crystal cleardont expect bassbut the audio quality and connectivity is amazingit had all the connectivities and the best part is fm radioi am 100 satisfied with this speakeri can carry it to any where as
CGul Cloth Stand Cupboard and Almirah Carbon Steel Collapsible Wardrobe Carbon Steel Collapsible WardrobeFinish Color Maroon DIYDoItYourself,positive,summarize what people like about CGul Cloth Stand Cupboard and Almirah Carbon Steel Collapsible Wardrobe Carbon Steel Collapsible WardrobeFinish Color Maroon DIYDoItYourself: good product i am setisfy but i wish the product quality was a little better [SEP] very nice perfect product,good product i am setisfy but i wish the product quality was a little better
BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,negative,summarize what people dislike about BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher: very bad item headache to own since last 6 months mechanic has visited my home twice to repair the machine really bad quality product didnt expect such garbage from bosch hate it buyers bewareupdatedworst possible service from bosch again stopped working and i have been contacting bosch customer service since last 3 months but no one is coming to repair it my mom is washing dishes by hand since last 3 months [SEP] inadequate performanceneed to scrub all the vessels before loading [SEP] we are senior citizens with 2 members without maid servant cleaning vessels was a problem now problem solved alternate days we use for the first time in our life we see such cleaned vessels good performance [SEP] very high price no discount average performance [SEP] product is damaged did not work on first wash itself giving error 15 which means there is a leakage inside the dishwasher,very bad item headache to own since last 6 months mechanic has visited my home twice to repair the machine really bad quality product didnt expect such garbage from bosch hate it buyers bewareupdatedworst possible service from bosch again stopped working and i have been contactin
